"Durham, NC",10,4,"In the summer of 2017 I got my first ""real job"" in the form of an internship at Nutanix, a cloud computing company providing servers and software for cloud computing. Alyssa was sweet enough to take the time to come out east and visit me! Here we went to the Sarah P. Duke Gardens, a restaurant hosting a wall-art coloring book event, and a benefit dinner for Durham's _Families Moving Forward_ organization. ",35.99446404,-78.89867446,2017-6,,,,
Christkindlmarket Chicago,11,3,"Everyone knows the Christkindlmarket in Chicago! Alyssa and I try to go every year. The pictures you see here are from 2017, 2019, and 2021. So we really have a 50% success rate. We tried to go this past year, 2022, but the line was far too long! We opted instead to take a walk through the Millennium Park and grab some sushi at a restaurant nearby. The pictures from that date can be found on the Chicago slide.",41.8842908,-87.6296981,2017-11,2019-12,2021-12,,
Sakanaya,12,1,"Sakanaya is one of the nicer sushi places out in Champaign. We didn't come here often, just to celebrate bigger events. This last picture was probably the last time we went, Alyssa's birthday in 2018! On my sushi rankings list, this falls in the ""B Tier"" (which, I still like a lot!). 

---
**S Tier** - Sushi Dokku (West Loop) (Same as booze box), 🍣Ohshima (Los Angeles, CA)

**A Tier** - Kura (Schaumburg), Sushi-san, Sushi Taku (Wicker Park), Maple and ash (Gold Coast)

**B Tier** - Kizuna sushi bistro (Glenn Elynn), Sushi Ukai (La Grange), Wild Tuna (Naperville), Sushi Time (Elmhurst), **Sakanaya (Champaign)**, Kamehachi (Gold Coast)

**C Tier** - Umami sushi (O’Hare), Sushi + (Lakeview), Shakou (Park Ridge), Mizu Sushi House (Orland Park)

**F** - Wu’s House (Orland Park x 2) (BAD, DO NOT COME BACK)

---",40.11031334,-88.23288648,2018-2,,,,
Hotel Riu Santa Fe,13,5,"Riu Santa Fe was actually mine and Alyssa's very first all-inclusive vacation and it was AWESOME! Big thank you to our friend Lea who not only accompanied us on this trip, but really spearheaded the idea. We had a great time with our friends, we got some delicious drinks and laid out on the beach. Alyssa and I decided to go out on an excursion to swim with some whale sharks near La Paz, check it out next!",22.8947851,-109.8992511,2018-4,,,,
"La Paz, Mexico",14,4,"La Paz was a really cool visit for us! The main event of the trip was swimming with some whale sharks. We threw on fins and wetsuits and got diving! This small charter boat drove us to an area near whale sharks, and we just dove in and swam alongside them. It was horrifying and fascinating all at once. 
Before some hard swimming against the currents, we went to the city of La Paz! Here we did some shopping and got lunch. It was a nice catered lunch the whale-shark-diving group had organized for us. This was the first of many south-of-the-US excursions to come!",24.14248198,-110.3127619,2018-4,,,,
Starved Rock State Park,15,2,"Back in the US and still in our summer after graduating from UIUC, we wanted to continue on our little adventures. We were craving a spot to hike, and Ally had the great idea of hiking Starved Rock! I had only been there as a kid to go fishing, so although I've been here tens of times, it was really cool to get a completely new look at the place. Alyssa took us to some familiar trails she had gone through before, and we got some nice pictures out of it.",41.3104569,-89.030739,2018-5,,,,
Brookfield Zoo,16,4,"Brookfield Zoo is solid, but admittedly Alyssa and I have a bad habit of going a bit too late when all the animals are asleep! But enjoy some pictures of us with the free-roaming peacocks!",41.83318454,-87.83695448,2018-5,,,,
"Ann Arbor, MI",17,3,"In June of 2018, Ally and I went up to Ann Arbor, Michigan so I could show her around the city and visit my sister. We had a great time kayaking and checking out the local museum. The campus had a festival at the time as well, so we got to hangout on the quad with some drinks and live music!",42.27724073,-83.73820002,2018-6,,,,
Bengtson's Pumpkin Farm and Fall Fest,18,5,"As Ally and I finished up school and moved back home, we were no longer near our regular Curtis pumpkin patch and had to find a new one! Luckily enough, Bengston's was nearby and became our norm. Here we have pictures from Octobers of 2018 and 2019. Look how much we grew in one year!!! wild

_""I love the highland cows. the highland cows are my favorite.""_ - Alyssa Nicole",41.6136803,-87.9445349,2018-10,2019-10,,,
Disneyland Park,19,8,"In October of 2018 we decided to visit Mickey's Halloween Party at Disneyland! Despite hating rollercoasters, I actually do love Space Mountain. One of my all-time favorite pics of the two of us is on the third slide here -- wild excitement coming down from Ghost Galaxy! We got our matching shirts and visited Mickey's House. Alyssa played the piano for Mr. Mouse. A very successful visit!",33.81196332,-117.9189246,2018-10,,,,
Ohshima Japanese Cuisine,20,3,"Alyssa and I were actually in California primarily due to my own work -- Liferay had flown all the employees down for a conference. Talking with all the employees, obviously someone had to know the best sushi spot in town! One of the highest references was Ohshima sushi, which we landed on as it was so close to Disneyland Park. This was our first real Omakase experience, and it SLAPPED. This sushi restaurant topped our rankings list until just recently -- when Chicago's BoozeBox dethroned them. Still, Ohshima is no joke, and we'll definitely be back in the future!

---
**S Tier** - Sushi Dokku (West Loop) (Same as booze box), 🍣 **Ohshima (Los Angeles, CA)**

**A Tier** - Kura (Schaumburg), Sushi-san, Sushi Taku (Wicker Park), Kizuna sushi bistro (Glenn Elynn)

**B Tier** - Maple and ash (Gold Coast), Sushi Ukai (La Grange), Wild Tuna (Naperville), Sushi Time (Elmhurst), Sakanaya (Champaign), Kamehachi (Gold Coast)

**C Tier** - Umami sushi (O’Hare), Sushi + (Lakeview), Shakou (Park Ridge), Mizu Sushi House (Orland Park)

**F** - Wu’s House (Orland Park x 2) (BAD, DO NOT COME BACK)

---",33.82053698,-117.8366981,2018-10,,,,
"Oak Forest, IL",21,10,"Good ol' Oak Forest, my hometown! This is really just a hodgepodge of pictures from around the area. This very first picture is from Halloween of 2018, when our friend (and my groomsman!) Anthony put together a Halloween party for all of us. It was a BLAST, everyone's costumes were great and we were JAMMIN'!

The next set of photos is Alyssa and I with our Build-a-Bear, Bearald. We sleep with him every night! If one of us is missing from the bed, he's our backup cuddler.

Third set is Alyssa and I in Allie's garage. She was always a great host, so this was a commonplace for us to be found while we were all still in Oak Forest.

Following that is a quick Christmas, actually this past Christmas, at Auntic Dic's! They always have such sparkling decorations, it's hard to pass up the photo op.

Second to last we see a paint-n-sip night we had at Sam and Seans, where I painted a canvas for our lil' animals, PB n' Jams

And last but not least, The Shulls' bridal shower in Midlo! A really sweet yellow-flowery themed bridal shower thrown by a beautiful couple, whose wedding we would attend just a few months later.
",41.6481341,-87.674646,2018-10,,,,
Wu's House Orland Park,22,1,"This sushi boat was solid but we would later come back here and find old, slimy sushi and steamed rice that clearly was not prepared with rice vinegar. -10/10, would not recommend

---
**S Tier** - Sushi Dokku (West Loop) (Same as booze box), 🍣Ohshima (Los Angeles, CA)

**A Tier** - Kura (Schaumburg), Sushi-san, Sushi Taku (Wicker Park), Maple and ash (Gold Coast)

**B Tier** - Kizuna sushi bistro (Glenn Elynn), Sushi Ukai (La Grange), Wild Tuna (Naperville), Sushi Time (Elmhurst), Sakanaya (Champaign), Kamehachi (Gold Coast)

**C Tier** - Umami sushi (O’Hare), Sushi + (Lakeview), Shakou (Park Ridge), Mizu Sushi House (Orland Park)

**F** - **Wu’s House (Orland Park x 2)** (BAD, DO NOT COME BACK)

---",41.5932383,-87.853052,2018-11,,,,
"Indianapolis, IN",23,6,"In December of 2018, Alyssa and I were pretty close and I wanted to get her a really special gift. Over our time together I found she had a particular interest in wolves... so I got her one! Kind of. Out near Indianapolis there is a wolf sanctuary, ""Wolf Park"". Here we sponsored a wolf, Timber. I took Alyssa on a trip to Indianapolis which would end with a surprise visit to her birthday gift, a full meet-and-greet with Timber (and fellow wolves at the park).
That weekend we went to the Indianapolis Museum of Art at Newfields, which had a stunning geometric wall we took photos with! Following that we had dinner and a show; we went to see A Christmas Carol at Indianapolis' Civic Theatre. We'd go on to visit Timber a couple more times as the sponsorship lasted a year.",39.927392,-85.9373789,2018-12,2019-06,,,
Laugh Factory,24,2,"Laugh Factory was a last-second date Alyssa and I put together. We hadn't gone to a stand-up show together before, so we found these tickets on Groupon on a whim. Turned out we'd end up having near-front-row seats next to this nice couple. We chatted with them throughout the show, and then stayed a bit after the show to hangout with them and the comedian, Akeem Woods! He was really friendly and absolutely hilarious.",41.939827,-87.6439133,2019-1,,,,
"Lake Geneva, WI",25,4,"Lake Geneva is easily one of mine and Alyssa's favorite vacation spots! Unfortunately we only have a picture here from 2019, but out first-ever trip to Lake Geneva was back in 2017, when I was still 20 and therefore not old enough to drink! Ally and I stayed at The Lodge, a spa hotel. Ally got a drink at dinner, while I snuck some sips when the waitress wasn't looking! In hindsight, they probably didn't care, and it was just a silly experience. Since then, we've come back to Lake Geneva to visit The Abbey Resort for another spa vacation, and I'd really highly recommend that place! Alongside your massage, you get a few hours in a relaxing pool area where you can just sit, read, and unwind. We love our spa vacations! We've come here for wine tastings as well -- my favorite ""gift wine"" was one we found at a small winery, ""Sexual Chocolate"". It's actually a widely available red wine. If you see a red wine with a bunch of handwritten-looking writing as the label, grab it! it's a delicious red wine to pair with chocolate, and is Advanced Sommelier approved (Thanks Igor!).
Anyways, the pictures you see here are from 2019 at the Ice Castles! Out in Lake Geneva they create a giant castle out of ice, filled with slides and mazes, as well as some drinks and snacks.",42.615181,-88.3935269,2019-2,,,,
Mizu Sushi House,26,1,"Just a quick one here, Mizu Sushi house! We love our sushi boats! This place was really solid, it's in my ""C-Tier"" which sounds low, but it's definitely a place I'd gladly go back! This tends to be the ""All you can eat"" category for me, so although the quality isn't S-A-or-B tier, its' still plenty good to eat, and will always satisfy that sushi craving

---
**S Tier** - Sushi Dokku (West Loop) (Same as booze box), 🍣Ohshima (Los Angeles, CA)

**A Tier** - Kura (Schaumburg), Sushi-san, Sushi Taku (Wicker Park), Maple and ash (Gold Coast)

**B Tier** - Kizuna sushi bistro (Glenn Elynn), Sushi Ukai (La Grange), Wild Tuna (Naperville), Sushi Time (Elmhurst), Sakanaya (Champaign), Kamehachi (Gold Coast)

**C Tier** - Umami sushi (O’Hare), Sushi + (Lakeview), Shakou (Park Ridge), **Mizu Sushi House (Orland Park)**

**F** - Wu’s House (Orland Park x 2) (BAD, DO NOT COME BACK)

---",41.65330826,-87.8570551,2019-2,,,,
Royal Gorge Bridge & Park,27,14,"Out in May of 2019, Ally and I decided to visit Colorado! We chose to check out Colorado Springs, and one of the big attractions out that way is the Royal Gorge Bridge & Park. Royal Gorge is a 1250ft deep canyon just outside of Cañon City. We came here off a suggestion from our friend Pooja who had just gone earlier in the year! The canyon was beautiful and honestly pretty nerve-wracking! The bridge is lined with the flags of all 50 states. Going across the bridge had us holding pretty tight to the railings and nervously looking down. We went on a zipline that went across the gorge, and it was exhilarating! There is also a gondola that goes across the canyon, which you can see us taking pictures in. Lastly, on a lower point of the canyon, is a cave system! We went spelunking and got to see some stalagmites and stalactites. At one point of the tour, they turn off all the lights, and you can't even see your hand in front of your face. Our final stop on our way back to Colorado Springs was an old prison museum, in which they had an old retired gas chamber. Spooky stuff! Right up Ally's alley.",38.46377136,-105.3224596,2019-5,,,,
Blue Moon Brewing Company,28,3,"Having flown in-and-out of Denver, we had to hit up the Blue Moon Brewing Company! Blue Moon is my go-to beer, so this was a really cool experience for us. We got to do flights of their experimental beers at the time, and they actually hold a leaderboard of the top-requested beers! I remember here they had been trialing their ""Iced Coffee Blonde"", which I was excited to see in stores just a few months later for the winter seasonal beers.",39.7738992,-104.9765201,2019-5,,,,
Denver Botanic Gardens,29,6,"The Denver Botanic Gardens was beautiful! We were on our way to the airport when we found we had a few extra hours, so we decided to stop by, and what a great decision that was! We like to visit the botanic gardens of the cities we visit, and this one was my second favorite after Chicago's. They have this large honeycomb-themed pyramid near the center of the garden which is used for research and BEES! We got to see a lot of pretty tulips as they were in-season, and some really wild trees and plants. Denver's Botanic Garden is a great example of placing greenery in a busy city, and always worth the stop.",39.7319275,-104.9627392,2019-5,,,,
Garden of the Gods,30,14,"Our most-anticipated part of this trip, Garden of the Gods! Garden of the Gods is a registered National Natural Landmark with giant spikes of red rock shooting out of the ground. We started off our visit with a Wolf Walk -- again we found an organization which rescued wolves, and this one actually let us walk them! The photos you see are with Colorado Wolf Adventures. These guys were HUGE! Their paws were the size of my face. Still, they acted very similarly to dogs and even let us rub their bellies. After our walk, we went off into the park and got to take some pictures on a light hike through the ""garden"". ",38.8963911,-104.8038701,2019-5,,,,
"St. Louis, MO",31,5,"Alyssa and I drove down with the whole Sampang family to St. Louis for the wonderful Shredl wedding! The city of St. Louis was really pretty, the arch was even larger than I imagined and the view from up there was incredible. Having a beautiful event to dress up for doesn't hurt either, Alyssa and I were really happy with how well my tie matched her dress! Hoping we get some opportunities to get back to St. Louis in the future.",38.62517324,-90.18673568,2019-5,,,,
Chicago Botanic Garden,32,11,"Chicago Botanic Garden is almost a yearly visit for us! We love going on walks, and one of the best places to do that is out at the Chicago Botanic Garden. Our first date at this location was in September of 2019, where Ally learned about my love of Bees & Bonsais. We've been back a few times since then, once for the Night of 1,000 Jack-o-Lanterns and again for the Lightscape during Winter. Our most recent visit was in May of this year just a relaxing date out. As members of the Chicago Botanic Garden, we'll be back several times next year!

_""ummm my favorite part is the um bonsais""_ - Alyssa Nicole",42.149384,-87.7891973,2019-9,2022-12,2023-05,,
Loyola University Health Science Campus,33,3,"Alyssa finished her nursing degree out at Loyola in December of 2019. It was a grind as she studied hard every week and took her long commutes out to rotational assignments, she toughed through it and got it done! The photos here are at her graduation ceremony. Look at all those flowers!!",41.85863525,-87.83531441,2019-12,,,,
The Haven Riviera Cancún,34,13,"As a graduation gift to Alyssa, we went off to The Haven in Cancun for another all-inclusive vacation! Her RN-BSN was a TON of work and deserved a good relaxing time off. The Haven is our current all-time favorite all-inclusive. The food, events, rooms, staff, are all the best we've had in all the places we've gone! The restaurants were some of the best. Most all-inclusive restaurants __look__ five-star, but these __tasted__ five-star too! Ally and I had steaks, seafood, mexican food, you name it. The shows were really great too. all-inclusive shows can be nice, but the production value of these shows blew us out of the water. Early in the trip we had gone to a drinks-and-bingo event in which I had a missed bingo, the staff was apologetic but it was no big deal. We missed out on a free private dinner on the beach, but there was plenty to do around so we didn't mind. We go off to our regular dinner followed by the late-night show, and to our surprise the same staff who organized the bingo is organizing the performance. He recognized us from earlier, and decided to give us VIP upper-deck private table seats! It was a nice unexpected bonus and made the trip all that much nicer. I can't say enough good things about this hotel. If you're looking for an all-inclusive, this is the one you need to go to!

_""My favorite all-inclusive we've gone to!""_ - Alyssa Nicole",20.96628036,-86.83252691,2019-12,,,,
Universal Studios Hollywood,35,7,"In January of 2020, we took a vacation to Universal Studios. I hadn't been back since I was a kid, and as I was in town for work anyways, it seemed like the perfect combo to get Ally out here too so we could do some vacationing! Universal was awesome, did the standard items of taking a picture at the globe and going on the Studio tour! The ""plane crash"" wreck was really cool to see, and following that we got to see the froyo place from The Good Place! That was a huge bonus for us; we had been in the middle of watching ther series at the time, and didn't realize we'd be seeing the set that day. Alyssa got to get some butter beer and take a pic with Sirius Black, afterwards we got some donuts and got on our way!",34.1362554,-118.3518877,2020-1,,,,
Hollywood Wax Museum,36,7,"The Hollywood Wax Museum was really cool! Admittedly Hollywood itself was a pretty painful tourist trap, but this museum I was happy to be as tourist as it gets. It was a little creepy, but you get over that feeling fast when you get to take pics with your favorite celebrities! Hilariously realistic, Ally got to take a pic with her favorite 22 Jump Street star Channing Tatum, and I got to spit bars with The Real Slim Shady.

_""Channing Tatum was really tall""_ - Alyssa Nicole",34.1022395,-118.3380274,2020-1,,,,
Shedd Aquarium,37,8,"Much like the Chicago Botanic Gardens, the Shedd Aquarium is a regular date spot for us as well! Not many pictures over the years, but we tend to go here about once a year. We try to catch special events; this first set of pictures you see is from January 2020. For my Christmas gift, Alyssa took me to a meet-and-greet sea otters event! We got to touch their cute little tiny paws, feed them some sushi, and practice some training with them! Sea otters are my favorite animal, so Ally really hit the nail on the head with this one. Since then, we've gone on regular visits just to see some seahorses and belugas. Our most recent visit, the last two pictures, is from Jazzin' at the Shedd! An after-hours event where they serve drinks and play live jazz music in the lobby of the Shedd. ",41.86756455,-87.61402727,2020-1,,,,
Safari Lake Geneva ,38,5,"Safari Lake Geneva, in hindsight, was a really wild ride. We visited here in July of 2020, it's a safari where you just drive through the park in your own car! You can get buckets of feed to feed the animals, and let me tell you they are FEASTIN' in there. They have absolutely no fear, and as soon as you pull up, their heads are in the car! I wouldn't take anything more than a beater through this safari, as the animals are there for food and they're coming in hard to get it. Most of the animals were really cute and sweet, politely requested access in the window and then shoved their heads in our food bucket for a mouthful. One thing we learned though, is ostritches are RUDE. Straight up tries to take the whole bucket. Save some for your friends fatty. No wonder you can't fly. not even a real bird. figure it out",42.55341823,-88.37995403,2020-7,,,,
All Seasons Orchard,39,5,"Off to our yearly orchard visit! In September of 2020 we went to All Seasons Orchard with some friends of ours from Ally's nursing school. The orchard was really nice, rows and rows of trees with different varieties to choose from. We also got a cool apple-picking bucket-on-a-stick that Ally was wicked good at using! Following that we took our apples and launched them out of a cannon. It was sick. ",42.2561545,-88.4795227,2020-9,,,,
Elmhurst,40,12,"In November of 2020, Ally and I got our first place together! We found a place that was a bit of a midpoint for us, I worked in the loop and wanted somewhere I could walk to the metra. Ally worked at Advocate Christ in Oak Lawn. So this was the best bet midpoint for us! It ended up not mattering as I became a remote-worker, and comandeered our kitchen as my new home office, but nonetheless we loved the space and really loved the town.
We opened up our first event with our friends by hosting Friendsgiving. A bit of a challenge -- we had no couch for the first few months living here due to an unexpected materials shortage! Luckily we got to rent out the game room, so after some nice pictures with our friends in the apartment, we went off to a real celebration space. 
Over the year we had here we went on to create a really cozy space. See our wonderfully warm bedroom, special designed by my personal interior designer Alyssa Nicole. We had a breath-taking plant shelf, and plenty of kitchen counterspace to make sushi! Eventually we got our couch, and with some help from Tim on furniture-re-coloring, we completed our living room and made this apartment an abode.

This is also Eugene Lebron Jams' first home. Please see cute pictures of Michael Jordan Spikes (Spikechael Jordan) on the last few slides. Squilliam Pantsyson appreciates your support.",41.90544527,-87.94153631,2020-11,,,,
Little Switzerland Ski Area,41,2,"In 2021, we took on winter sports! We had a ski trip to Colorado planned with all of our friends, so Alyssa and I took a mini-vacation to Little Switzerland in Wisconsin to get some learning time in. We learned it's pretty similar to ice skating (use those edges!) and picked it up pretty quickly. ",43.3381484,-88.2785931,2021-1,,,,
Granby Ranch,42,11,"In February of 2021, Alyssa and I and a few of our friends got a nice big house in Granby Ranch, CO and did some skiing! This was either of our first real ski trip, so we had a ton to pack. The mountains were a ton of fun, and the views were beautiful. The runs were a lot more steep and much longer than the ones we saw in Wisconsin. It was a little scary at first, but we both adjusted quickly and flew down the mountains unscathed! 

[Highlight video](https://youtu.be/26TjUXIKvNc?si=SDxcCyqNAiBk7M9P) ",40.0448195,-105.9059847,2021-2,,,,
Kizuna Sushi Bistro,43,1,"Kizuna Sushi Bistro is a really cool sushi place out in the Chicago Suburbs! Something to note about this place is they have very unique rolls. Everywhere we go tends to have your usual philidephia, spicy tuna, etc... alongside some specialty rolls. But the specialty rolls here were on another level! They used special ingredients like black rice and wonton wraps to bring creative rolls to the table. If you're ever in Glenn Elynn, I'd recommend stopping by here for lunch or dinner. If you're looking for something quicker, you've gotta check out this cute mom-and-pop shop Olive & Vinnie's. They've got an amazing peanut butter snack that absolutely slaps

---
**S Tier** - Sushi Dokku (West Loop) (Same as booze box), 🍣Ohshima (Los Angeles, CA)

**A Tier** - Kura (Schaumburg), Sushi-san, Sushi Taku (Wicker Park), Maple and ash (Gold Coast)

**B Tier** - **Kizuna sushi bistro (Glenn Elynn)**, Sushi Ukai (La Grange), Wild Tuna (Naperville), Sushi Time (Elmhurst), Sakanaya (Champaign), Kamehachi (Gold Coast)

**C Tier** - Umami sushi (O’Hare), Sushi + (Lakeview), Shakou (Park Ridge), Mizu Sushi House (Orland Park)

**F** - Wu’s House (Orland Park x 2) (BAD, DO NOT COME BACK)

---",41.86008699,-88.029653,2021-3,,,,
Victory Meat and Seafood,44,2,"Elmhurst has a bunch of gems in town to eat at, and one of the many is Victory Meat and Seafood. Around this time Ally and I had grown a real hankering for oysters. We've been raw fish people for forever, but only recently started indulging in oysters. We were ecstatic to find out there was an oyster-serving place right down the street from us!",41.9005001,-87.9401441,2021-5,,,,
Discovery Cove,45,4,"For my 25th birthday, Ally and I decided it'd be fun to make a quick trip out to Florida and visit Discovery Cove! I had never heard of the place before, so Ally was my sherpa. The place is really cool, we get free drinks and food in the park, and there's a large snorkeling area where you get to dive with all kinds of fish!",28.40503843,-81.46310147,2021-5,,,,
Downtown Disney District,46,4,"Our next stop in Florida was Downtown Disney! Despite all the times I had been to Disneyworld, I never even knew downtown disney existed! It was a really cool place to walk though. It's a really awesome nightlife option, way more lively than I was expecting! I thought it would be a little shopping with a disney theme, but it ended up being like a small city with live music, drinks, and lots of fun snacks. We got to stop by Gideon's Bakehouse, which had these HUGE decadent cookies. They were pretty good, but in all honesty, it was too sweet to finish. I think it's worth trying, but be ready to split a cookie between 2-4 people!",33.8324659,-117.891789,2021-5,,,,
Epcot,47,14,"The main event of our Florida trip, Epcot! We visited Epcot and went for drinks around the world. Mid-covid, so we have masks on the whole time, but we didn't let that spoil our fun! 

In picture order, we got to see...
* Spaceship Earth geosphere
* The Seas with Nemo
* Lunch at the aquarium
* Epcot's hydroponic on-site farm
* Chichen-Itza Epcot (which we would see the real one just a few months later!)
* God of the Vikings
* China Pavilion
* Epcot France
* Epcot Japan
* a phone booth

At each country at epcot we got a different drink, called ""Drinks around the world"". By the last location we were fairly intoxicated and our feet were sore. Epcot was an absolute blast and it made our hotel room that much comfier when we were all done!",28.37640257,-81.54939267,2021-5,,,,
Chocolate Museum & Cafe,48,2,"The Chocolate Museum & Cafe was actually a quick stop we had just before going off to Downtown Disney and Epcot. Again we had found a quick GroupOn and thought, why not? We love chocolate! Right when we got there I thought for a second we were at the wrong place -- it's pretty small, and the front looks like any ol' cafe. But once you walk in the place is pretty deep! We arrived about half an hour early for our tour, so we got a mini chocolate fondue pot and had a little dessert-for-brunch. After our meal, our tour started, and we got to learn about chocolate! They had a full lifecycle of the cocoa bean to chocolate, chocolate processing factory view through some glass, and at the end we got to taste some chocolate and get our very own bar! Following the tour, they let us into a room with all kinds of chocolate sculptures, like the Eiffell Tower and Chichen Itza. It was a fun little experience, and we'll always take the route with more chocolate!",28.3938692,-81.46496554,2021-5,,,,
